,岗位,企业,城市,薪资,经验,学历
330,iOS开发工程师-端智能-今日头条,抖音视界（北京）有限公司,深圳,30000,3-5年,本科
331,多媒体iOS平台研发工程师,抖音视界（北京）有限公司,北京,20000,1年以下,本科
332,iOS开发工程师,北京金山办公软件股份有限公司,武汉,20000,3-5年,本科
333,ios开发工程师,北京金山办公软件股份有限公司,武汉,15000,3-5年,本科
334,iOS开发工程师,杭州觅睿科技股份有限公司,杭州,10000,1-3年,本科
335,ios开发工程师,上海伊邦医药信息科技股份有限公司,上海,14000,1-3年,本科
336,ios开发工程师,北京外播叁科技有限公司,北京,15000,3-5年,本科
337,ios开发工程师,贝壳找房（北京）科技有限公司,北京,30000,3-5年,本科
338,ios高级开发工程师,北京翼辉信息技术有限公司,西安,20000,3-5年,本科
339,ios开发工程师,浙江核新同花顺网络信息股份有限公司,杭州,25000,3-5年,本科
340,ios开发工程师,深圳市胜凯科科技有限公司,深圳,18000,5-10年,大专
341,ios开发工程师,成都朝觥辉商贸部,成都,15000,5-10年,本科
342,ios开发工程师,华为技术有限公司,武汉,15000,1-3年,本科
343,ios开发工程师,华为技术有限公司,西安,15000,1-3年,本科
344,ios开发工程师,上海缔安科技股份有限公司,上海,12000,1-3年,本科
345,iOS高级开发工程师-国际直播,抖音视界（北京）有限公司,北京,30000,不限,本科
346,iOS研发工程师（商业创作方向） - 剪映,抖音视界（北京）有限公司,深圳,30000,不限,本科
347,ios开发工程师,上海缔安科技股份有限公司,上海,12000,1-3年,本科
348,ios开发工程师,艾塔（深圳）智能信息有限公司,深圳,10000,1-3年,大专
349,iOS开发工程师,欧科互动网络科技（北京）有限公司,北京,15000,在校/应届,本科
350,ios开发工程师,深圳金数汇信息技术有限公司北京分公司,北京,8000,在校/应届,本科
351,ios开发工程师,兴业数字金融服务（上海）股份有限公司,成都,14000,在校/应届,本科
352,ios开发工程师,深圳中博网络技术有限公司,深圳,7000,在校/应届,本科
353,ios开发工程师,雷神科技有限公司,武汉,15000,5-10年,本科
354,ios开发工程师,顺丰科技有限公司,深圳,12000,在校/应届,本科
355,ios开发工程师,武汉佰悦互娱科技有限公司,武汉,12000,3-5年,本科
356,ios开发工程师,海创云出海计算技术（成都）有限公司,成都,10000,3-5年,大专
357,IOS开发工程师,兴业数字金融服务（上海）股份有限公司,上海,10000,在校/应届,本科
358,ios开发工程师,武汉秒云科技有限公司,武汉,15000,5-10年,不限
359,ios高级开发工程师,四川省通感科技有限公司,成都,15000,5-10年,大专
360,多媒体iOS平台研发工程师,抖音视界（北京）有限公司,北京,20000,1年以下,本科
361,iOS高级开发工程师-国际直播,抖音视界（北京）有限公司,北京,30000,不限,本科
362,IOS开发工程师,兴业数字金融服务（上海）股份有限公司,福州,10000,在校/应届,本科
363,IOS开发工程师,兴业数字金融服务（上海）股份有限公司,成都,10000,在校/应届,本科
364,ios开发工程师,成都文舟快创科技有限公司,成都,18000,3-5年,大专
365,ios开发工程师,武汉腾海互娱科技有限公司,武汉,10000,不限,大专
366,ios,成都涉购科技有限公司,成都,8000,不限,大专
367,iOS开发工程师,北京易思卓科技有限公司,北京,18000,在校/应届,本科
368,ios开发工程师,杭州昼光科技有限公司,杭州,10000,在校/应届,本科
369,IOS开发工程师,深圳天颂互娱科技有限公司,深圳,5000,在校/应届,大专
370,ios开发工程师,杭州同花顺数据开发有限公司,杭州,20000,在校/应届,本科
371,IOS开发工程师,上海房旅网络科技有限公司,上海,15000,3-5年,本科
372,ios开发工程师,东莞霖感科技有限公司,东莞,10000,在校/应届,大专
373,ios,北京和平共科技术有限公司,北京,8000,在校/应届,不限
374,ios开发工程师,北京和平共科技术有限公司,北京,4000,在校/应届,不限
375,iOS开发工程师-飞书日历,抖音视界（北京）有限公司,上海,20000,3-5年,本科
376,Android/iOS开发（高级）工程师-小说,抖音视界（北京）有限公司,北京,20000,不限,本科
377,ios开发工程师,成都才来聚人力资源有限公司,成都,15000,5-10年,本科
378,ios开发工程师,上海咔朴商务咨询有限公司,上海,19000,5-10年,大专
379,高级ios开发工程师,成都才来聚人力资源有限公司,成都,14000,5-10年,本科
380,ios开发工程师,科锐尔人力资源服务（苏州）有限公司,武汉,20000,3-5年,本科
381,ios高级开发工程师,深圳市访贤咨询有限公司,深圳,30000,不限,本科
382,ios高级开发工程师,成都揽海聚才企业管理咨询有限公司,成都,15000,不限,本科
383,ios开发工程师,北京尚聘信息咨询有限公司,湖州,18000,3-5年,本科
384,ios开发工程师,杭州奈睿信息技术有限公司,杭州,25000,3-5年,本科
385,ios开发工程师,上海巴沃人才服务有限公司,上海,35000,5-10年,本科
386,ios开发工程师,杭州答应人力资源有限公司,杭州,8000,1-3年,大专
387,ios开发工程师,万宝盛华人力资源（中国）有限公司,上海,25000,3-5年,本科
388,IOS高级开发工程师,万宝盛华人力资源（中国）有限公司,上海,30000,5-10年,本科
389,ios开发工程师,上海一家玖赢企业管理咨询有限公司,上海,25000,3-5年,大专
390,智能创作解决方案研发工程师(iOS/Android方向),抖音视界（北京）有限公司,广州,30000,1-3年,本科
391,iOS研发工程师-抖音-隐私合规,抖音视界（北京）有限公司,北京,30000,3-5年,本科
392,高级ios开发工程师,成都才来聚人力资源有限公司,成都,14000,3-5年,大专
393,IOS高级开发工程师,万宝盛华人力资源（中国）有限公司,上海,30000,5-10年,本科
394,ios开发工程师,上海一家玖赢企业管理咨询有限公司,上海,25000,3-5年,大专
395,ios开发工程师,吉林省螺丝丁人力资源有限公司,深圳,15000,3-5年,本科
396,高级ios开发工程师,上海沃锐企业发展有限公司,武汉,25000,5-10年,本科
397,高级ios开发工程师,科锐尔人力资源服务（苏州）有限公司,深圳,18000,3-5年,本科
398,ios高级开发工程师,上海欧猎商务咨询有限公司,上海,30000,5-10年,本科
399,ios高级开发工程师,深圳市拓普明途企业管理咨询有限公司,深圳,20000,5-10年,大专
400,ios开发工程师,武汉杞梓企业管理咨询有限公司,武汉,20000,3-5年,本科
401,ios开发工程师,大连兑辰人力咨询服务有限公司,杭州,11000,1-3年,大专
402,ios开发,上海晗馨企业管理咨询有限公司,武汉,25000,3-5年,本科
403,ios开发工程师,武汉尚仕杰企业管理顾问有限公司,武汉,25000,5-10年,本科
404,ios开发工程师,上海睿资达企业管理咨询有限公司,上海,40000,5-10年,本科
405,抖音iOS基础技术 - Swift方向 - iOS研发工程师,抖音视界（北京）有限公司,北京,25000,1-3年,本科
406,iOS开发工程师 — 飞书,抖音视界（北京）有限公司,深圳,25000,3-5年,本科
407,ios开发工程师,四川迈特管理咨询有限公司,北京,30000,不限,本科
408,ios开发工程师,北京亿聘世纪管理咨询有限公司,深圳,26000,3-5年,本科
409,ios开发工程师,北京亿聘世纪管理咨询有限公司,苏州,15000,3-5年,本科
410,ios开发工程师,成都柯诺维企业管理有限公司,成都,15000,不限,本科
411,ios开发工程师,加州格林咨询（北京）有限公司,武汉,20000,不限,本科
412,ios开发工程师,南京爱贤进企业管理有限公司,上海,20000,1-3年,本科
413,ios开发工程师,北京盈通伯乐管理顾问有限公司,北京,20000,3-5年,本科
414,Android开发 / IOS开发工程师（社招）,兴业数字金融服务（上海）股份有限公司,上海,25000,3-5年,本科
415,ios研发工程师,北京普世通达文化传媒有限公司,北京,20000,3-5年,本科
416,IOS开发实习生,杭州大名软件有限公司,杭州,4000,不限,本科
417,盒马-高级无线iOS开发工程师/无线技术专家-杭州,上海盒马网络科技有限公司,杭州,20000,3-5年,本科
418,高级/资深ios开发工程师,上海元趣娱乐有限公司,北京,25000,5-10年,本科
419,互联网业务-iOS高级开发工程师,富途网络科技（深圳）有限公司,深圳,25000,5-10年,本科
420,iOS研发工程师-直播/点播方向,抖音视界（北京）有限公司,北京,20000,不限,本科
421,iOS（高级）研发工程师 - 抖音（成都）,抖音视界（北京）有限公司,成都,30000,3-5年,本科
422,iOS基础架构开发工程师,富途网络科技（深圳）有限公司,深圳,16000,3-5年,本科
423,iOS工程师(英语口语流利),颂拓运动科技（东莞）有限公司成都分公司,成都,15000,5-10年,本科
424,资深iOS开发工程师-K线,欧科互动网络科技（北京）有限公司,北京,35000,不限,本科
425,iOS基础架构研发工程师,富途网络科技（深圳）有限公司,深圳,25000,1-3年,本科
426,ios高级开发工程师/专家,牵手未来科技（北京）有限公司,北京,25000,3-5年,本科
427,ios高级开发工程师/技术专家,牵手未来科技（北京）有限公司,北京,35000,5-10年,本科
428,iOS开发工程师（远程全职）,苏州迷岛科技有限公司,上海,18000,3-5年,本科
429,iOS开发助理工程师（24届）,堆糖信息科技（上海）有限公司,上海,4000,在校/应届,本科
430,高级IOS开发工程师（深圳）,天津思芮信息科技有限公司,深圳,18000,1-3年,本科
431,iOS技术专家,常相伴（武汉）科技有限公司,武汉,30000,5-10年,本科
432,IOS 端智能开发工程师,天津思芮信息科技有限公司,深圳,18000,3-5年,本科
433,ios架构师,上海畅指网络科技有限公司广州分公司,广州,30000,5-10年,本科
434,iOS工程师-实习生,北京以辰科技有限公司,北京,12000,在校/应届,本科
435,iOS基础架构研发工程师,富途网络科技（深圳）有限公司,深圳,25000,1-3年,本科
436,高级/资深ios开发工程师（上海）,天津思芮信息科技有限公司,上海,18000,1-3年,本科
437,iOS移动端开发,东云睿连（武汉）计算技术有限公司,武汉,12000,3-5年,本科
438,（高级/资深）iOS开发工程师,特斯拉（上海）有限公司,上海,25000,不限,本科
439,高级iOS开发工程师（基础研发）(A230464),广州荔支网络技术有限公司,广州,20000,3-5年,本科
440,ios开发工程师 (MJ006007),北京趣拿软件科技有限公司,北京,25000,3-5年,本科
441,高级ios前端开发工程师,无际想象（上海）信息技术有限公司,武汉,23000,3-5年,不限
442,高级iOS前端开发工程师,无际想象（上海）信息技术有限公司,成都,23000,3-5年,不限
443,服务能力部_IOS开发工程师(J58288),百度在线网络技术（北京）有限公司,合肥,10000,3-5年,本科
444,图像识别/排序算法 （ios方向） (MJ002905),广州希音供应链管理有限公司,深圳,30000,3-5年,本科
445,业务容器标准API组-iOS开发工程师,北京三快在线科技有限公司,成都,25000,不限,不限
446,高级iOS开发工程师（IM）(A89189),广州荔支网络技术有限公司,广州,20000,3-5年,本科
447,客户端开发工程师（ios或android）,北京三快在线科技有限公司,北京,20000,3-5年,本科
448,百度APP产品研发部_iOS开发工程师(J52501),百度在线网络技术（北京）有限公司,北京,20000,3-5年,本科
