岗位,企业,城市,薪资,经验,学历
ios开发工程师,小帧科技（深圳）有限公司,深圳,8k-15k,1-3年,大专
高级ios开发工程师,亿磐系统（深圳）有限公司,苏州,20k-28k,5-10年,本科
ios开发工程师,北京威力强化科技有限公司,北京,18k-28k,3-5年,本科
ios高级开发工程师,北京嘀嘀无限科技发展有限公司,杭州,20k-30k,1-3年,本科
iOS开发工程师,海南高图网络科技有限公司,广州,10k-20k,3-5年,本科
ios开发工程师,华为技术有限公司,武汉,20k-40k,不限,本科
ios开发工程师,广州优聚大鱼科技有限公司,广州,6k-12k,1-3年,本科
ios开发工程师,广州微悦网络科技有限公司,广州,8k-15k,1-3年,本科
iOS开发工程师-端智能-今日头条,抖音视界（北京）有限公司,深圳,30k-60k,3-5年,本科
多媒体iOS平台研发工程师,抖音视界（北京）有限公司,北京,20k-40k,1年以下,本科
iOS开发工程师,北京金山办公软件股份有限公司,武汉,20k-40k,3-5年,本科
ios开发工程师,北京金山办公软件股份有限公司,武汉,15k-30k,3-5年,本科
iOS开发工程师,杭州觅睿科技股份有限公司,杭州,10k-20k,1-3年,本科
ios开发工程师,上海伊邦医药信息科技股份有限公司,上海,14k-18k,1-3年,本科
ios开发工程师,北京外播叁科技有限公司,北京,15k-30k,3-5年,本科
ios开发工程师,贝壳找房（北京）科技有限公司,北京,30k-35k,3-5年,本科
ios高级开发工程师,北京翼辉信息技术有限公司,西安,20k-25k,3-5年,本科
ios开发工程师,浙江核新同花顺网络信息股份有限公司,杭州,25k-50k,3-5年,本科
ios开发工程师,深圳市胜凯科科技有限公司,深圳,18k-30k,5-10年,大专
ios开发工程师,成都朝觥辉商贸部,成都,15k-18k,5-10年,本科
ios开发工程师,华为技术有限公司,武汉,15k-25k,1-3年,本科
ios开发工程师,华为技术有限公司,西安,15k-25k,1-3年,本科
ios开发工程师,上海缔安科技股份有限公司,上海,12k-20k,1-3年,本科
iOS高级开发工程师-国际直播,抖音视界（北京）有限公司,北京,30k-60k,不限,本科
iOS研发工程师（商业创作方向） - 剪映,抖音视界（北京）有限公司,深圳,30k-60k,不限,本科
ios开发工程师,上海缔安科技股份有限公司,上海,12k-20k,1-3年,本科
ios开发工程师,艾塔（深圳）智能信息有限公司,深圳,10k-20k,1-3年,大专
iOS开发工程师,欧科互动网络科技（北京）有限公司,北京,15k-30k,在校/应届,本科
ios开发工程师,深圳金数汇信息技术有限公司北京分公司,北京,8k-10k,在校/应届,本科
ios开发工程师,兴业数字金融服务（上海）股份有限公司,成都,14k-25k,在校/应届,本科
ios开发工程师,深圳中博网络技术有限公司,深圳,7k-10k,在校/应届,本科
ios开发工程师,雷神科技有限公司,武汉,15k-22k,5-10年,本科
ios开发工程师,顺丰科技有限公司,深圳,12k-24k,在校/应届,本科
ios开发工程师,武汉佰悦互娱科技有限公司,武汉,12k-24k,3-5年,本科
ios开发工程师,海创云出海计算技术（成都）有限公司,成都,10k-18k,3-5年,大专
IOS开发工程师,兴业数字金融服务（上海）股份有限公司,上海,10k-18k,在校/应届,本科
ios开发工程师,武汉秒云科技有限公司,武汉,15k-22k,5-10年,不限
ios高级开发工程师,四川省通感科技有限公司,成都,15k-17k,5-10年,大专
多媒体iOS平台研发工程师,抖音视界（北京）有限公司,北京,20k-40k,1年以下,本科
iOS高级开发工程师-国际直播,抖音视界（北京）有限公司,北京,30k-60k,不限,本科
IOS开发工程师,兴业数字金融服务（上海）股份有限公司,福州,10k-18k,在校/应届,本科
IOS开发工程师,兴业数字金融服务（上海）股份有限公司,成都,10k-18k,在校/应届,本科
ios开发工程师,成都文舟快创科技有限公司,成都,18k-30k,3-5年,大专
ios开发工程师,武汉腾海互娱科技有限公司,武汉,10k-15k,不限,大专
ios,成都涉购科技有限公司,成都,8k-12k,不限,大专
iOS开发工程师,北京易思卓科技有限公司,北京,18k-28k,在校/应届,本科
ios开发工程师,杭州昼光科技有限公司,杭州,10k-18k,在校/应届,本科
IOS开发工程师,深圳天颂互娱科技有限公司,深圳,5k-10k,在校/应届,大专
ios开发工程师,杭州同花顺数据开发有限公司,杭州,20k-25k,在校/应届,本科
IOS开发工程师,上海房旅网络科技有限公司,上海,15k-30k,3-5年,本科
ios开发工程师,东莞霖感科技有限公司,东莞,10k-15k,在校/应届,大专
ios,北京和平共科技术有限公司,北京,8k-16k,在校/应届,不限
ios开发工程师,北京和平共科技术有限公司,北京,4k-8k,在校/应届,不限
iOS开发工程师-飞书日历,抖音视界（北京）有限公司,上海,20k-40k,3-5年,本科
Android/iOS开发（高级）工程师-小说,抖音视界（北京）有限公司,北京,20k-40k,不限,本科
ios开发工程师,成都才来聚人力资源有限公司,成都,15k-20k,5-10年,本科
ios开发工程师,上海咔朴商务咨询有限公司,上海,19k-24k,5-10年,大专
高级ios开发工程师,成都才来聚人力资源有限公司,成都,14k-18k,5-10年,本科
ios开发工程师,科锐尔人力资源服务（苏州）有限公司,武汉,20k-40k,3-5年,本科
ios高级开发工程师,深圳市访贤咨询有限公司,深圳,30k-60k,不限,本科
ios高级开发工程师,成都揽海聚才企业管理咨询有限公司,成都,15k-30k,不限,本科
ios开发工程师,北京尚聘信息咨询有限公司,湖州,18k-30k,3-5年,本科
ios开发工程师,杭州奈睿信息技术有限公司,杭州,25k-40k,3-5年,本科
ios开发工程师,上海巴沃人才服务有限公司,上海,35k-55k,5-10年,本科
ios开发工程师,杭州答应人力资源有限公司,杭州,8k-15k,1-3年,大专
ios开发工程师,万宝盛华人力资源（中国）有限公司,上海,25k-50k,3-5年,本科
IOS高级开发工程师,万宝盛华人力资源（中国）有限公司,上海,30k-50k,5-10年,本科
ios开发工程师,上海一家玖赢企业管理咨询有限公司,上海,25k-50k,3-5年,大专
智能创作解决方案研发工程师(iOS/Android方向),抖音视界（北京）有限公司,广州,30k-60k,1-3年,本科
iOS研发工程师-抖音-隐私合规,抖音视界（北京）有限公司,北京,30k-60k,3-5年,本科
高级ios开发工程师,成都才来聚人力资源有限公司,成都,14k-18k,3-5年,大专
IOS高级开发工程师,万宝盛华人力资源（中国）有限公司,上海,30k-50k,5-10年,本科
ios开发工程师,上海一家玖赢企业管理咨询有限公司,上海,25k-50k,3-5年,大专
ios开发工程师,吉林省螺丝丁人力资源有限公司,深圳,15k-30k,3-5年,本科
高级ios开发工程师,上海沃锐企业发展有限公司,武汉,25k-40k,5-10年,本科
高级ios开发工程师,科锐尔人力资源服务（苏州）有限公司,深圳,18k-22k,3-5年,本科
ios高级开发工程师,上海欧猎商务咨询有限公司,上海,30k-55k,5-10年,本科
ios高级开发工程师,深圳市拓普明途企业管理咨询有限公司,深圳,20k-32k,5-10年,大专
ios开发工程师,武汉杞梓企业管理咨询有限公司,武汉,20k-40k,3-5年,本科
ios开发工程师,大连兑辰人力咨询服务有限公司,杭州,11k-13k,1-3年,大专
ios开发,上海晗馨企业管理咨询有限公司,武汉,25k-35k,3-5年,本科
ios开发工程师,武汉尚仕杰企业管理顾问有限公司,武汉,25k-40k,5-10年,本科
ios开发工程师,上海睿资达企业管理咨询有限公司,上海,40k-65k,5-10年,本科
抖音iOS基础技术 - Swift方向 - iOS研发工程师,抖音视界（北京）有限公司,北京,25k-50k,1-3年,本科
iOS开发工程师 — 飞书,抖音视界（北京）有限公司,深圳,25k-50k,3-5年,本科
ios开发工程师,四川迈特管理咨询有限公司,北京,30k-50k,不限,本科
ios开发工程师,北京亿聘世纪管理咨询有限公司,深圳,26k-50k,3-5年,本科
ios开发工程师,北京亿聘世纪管理咨询有限公司,苏州,15k-30k,3-5年,本科
ios开发工程师,成都柯诺维企业管理有限公司,成都,15k-30k,不限,本科
ios开发工程师,加州格林咨询（北京）有限公司,武汉,20k-40k,不限,本科
ios开发工程师,南京爱贤进企业管理有限公司,上海,20k-22k,1-3年,本科
ios开发工程师,北京盈通伯乐管理顾问有限公司,北京,20k-30k,3-5年,本科
Android开发 / IOS开发工程师（社招）,兴业数字金融服务（上海）股份有限公司,上海,25k-45k,3-5年,本科
ios研发工程师,北京普世通达文化传媒有限公司,北京,20k-25k,3-5年,本科
IOS开发实习生,杭州大名软件有限公司,杭州,4k-6k,不限,本科
盒马-高级无线iOS开发工程师/无线技术专家-杭州,上海盒马网络科技有限公司,杭州,20k-35k,3-5年,本科
高级/资深ios开发工程师,上海元趣娱乐有限公司,北京,25k-45k,5-10年,本科
互联网业务-iOS高级开发工程师,富途网络科技（深圳）有限公司,深圳,25k-50k,5-10年,本科
iOS研发工程师-直播/点播方向,抖音视界（北京）有限公司,北京,20k-40k,不限,本科
iOS（高级）研发工程师 - 抖音（成都）,抖音视界（北京）有限公司,成都,30k-60k,3-5年,本科
iOS基础架构开发工程师,富途网络科技（深圳）有限公司,深圳,16k-30k,3-5年,本科
iOS工程师(英语口语流利),颂拓运动科技（东莞）有限公司成都分公司,成都,15k-25k,5-10年,本科
资深iOS开发工程师-K线,欧科互动网络科技（北京）有限公司,北京,35k-50k,不限,本科
iOS基础架构研发工程师,富途网络科技（深圳）有限公司,深圳,25k-45k,1-3年,本科
ios高级开发工程师/专家,牵手未来科技（北京）有限公司,北京,25k-50k,3-5年,本科
ios高级开发工程师/技术专家,牵手未来科技（北京）有限公司,北京,35k-65k,5-10年,本科
iOS开发工程师（远程全职）,苏州迷岛科技有限公司,上海,18k-22k,3-5年,本科
iOS开发助理工程师（24届）,堆糖信息科技（上海）有限公司,上海,4k-6k,在校/应届,本科
高级IOS开发工程师（深圳）,天津思芮信息科技有限公司,深圳,18k-32k,1-3年,本科
iOS技术专家,常相伴（武汉）科技有限公司,武汉,30k-55k,5-10年,本科
IOS 端智能开发工程师,天津思芮信息科技有限公司,深圳,18k-32k,3-5年,本科
ios架构师,上海畅指网络科技有限公司广州分公司,广州,30k-50k,5-10年,本科
iOS工程师-实习生,北京以辰科技有限公司,北京,12k-20k,在校/应届,本科
iOS基础架构研发工程师,富途网络科技（深圳）有限公司,深圳,25k-45k,1-3年,本科
高级/资深ios开发工程师（上海）,天津思芮信息科技有限公司,上海,18k-32k,1-3年,本科
iOS移动端开发,东云睿连（武汉）计算技术有限公司,武汉,12k-18k,3-5年,本科
（高级/资深）iOS开发工程师,特斯拉（上海）有限公司,上海,25k-50k,不限,本科
高级iOS开发工程师（基础研发）(A230464),广州荔支网络技术有限公司,广州,20k-40k,3-5年,本科
ios开发工程师 (MJ006007),北京趣拿软件科技有限公司,北京,25k-35k,3-5年,本科
高级ios前端开发工程师,无际想象（上海）信息技术有限公司,武汉,23k-27k,3-5年,不限
高级iOS前端开发工程师,无际想象（上海）信息技术有限公司,成都,23k-27k,3-5年,不限
服务能力部_IOS开发工程师(J58288),百度在线网络技术（北京）有限公司,合肥,10k-17k,3-5年,本科
图像识别/排序算法 （ios方向） (MJ002905),广州希音供应链管理有限公司,深圳,30k-50k,3-5年,本科
业务容器标准API组-iOS开发工程师,北京三快在线科技有限公司,成都,25k-35k,不限,不限
高级iOS开发工程师（IM）(A89189),广州荔支网络技术有限公司,广州,20k-40k,3-5年,本科
客户端开发工程师（ios或android）,北京三快在线科技有限公司,北京,20k-40k,3-5年,本科
IOS开发实习生(体验优化) - 【主站】,北京达佳互联信息技术有限公司,北京,2k-3k,在校/应届,本科
百度APP产品研发部_iOS开发工程师(J52501),百度在线网络技术（北京）有限公司,北京,20k-40k,3-5年,本科
